"Country","Model","Train_MAPE","Horizon_1_3_MAPE","Horizon_1_5_MAPE","Horizon_Full_MAPE"
"Austria","ARIMA",0.0390959267716862,0.0292087007295889,0.0492659949414853,0.0651562611979324
"Austria","ETS",0.0413212978259437,0.0187114904987193,0.0373074004929896,0.0514569642756324
"Austria","Theta",0.0437560476126651,0.0147314998882046,0.0282845431973292,0.0344188751219655
"Austria","NNAR",0.0432568970526072,0.0454283066234691,0.0418278682176577,0.0737656790023723
"Austria","ARFIMA",0.0451592558789515,0.00361403223542985,0.00490221665164093,0.047707209320416
"Austria","GP",0.000000000000000039565346033801,0.0210902912851153,0.0196623791369876,0.0268724232724614
"Austria","GAM",0.0317482512541926,0.0110491658191879,0.0176167547311748,0.0261934633095318
"Belgium","ARIMA",0.0477874975473524,0.0103435873707051,0.0139942023390167,0.039521083360558
"Belgium","ETS",0.0477988618639934,0.00633489531394961,0.00901627044457602,0.0393323317217973
"Belgium","Theta",0.0478077578720198,0.0123289172309098,0.0208514409219708,0.0342875357672431
"Belgium","NNAR",0.0310162767126374,0.0528407179509182,0.051616993200804,0.089962148954875
"Belgium","ARFIMA",0.0498020137507438,0.0086080292284215,0.0138044208552867,0.0801404017138701
"Belgium","GP",0.00000000000000000368448268828321,0.00544371308337054,0.0153640099875133,0.035455215250847
"Belgium","GAM",0.039697209956079,0.0107287440756518,0.0187121732318052,0.0355478635415691
"Denmark","ARIMA",0.040031552476504,0.0104719243098428,0.0204085077322296,0.0479141313527049
"Denmark","ETS",0.0391485494916039,0.0156808697312612,0.0168741341290809,0.0769627482654233
"Denmark","Theta",0.039105985463185,0.00657386390891615,0.0126208912388802,0.0544261684701986
"Denmark","NNAR",0.0441222951432077,0.0578169440490231,0.0612560263183571,0.124990271365774
"Denmark","ARFIMA",0.0400214848685549,0.0225486461944962,0.0289349626116205,0.114658486705819
"Denmark","GP",0,0.0313518532671558,0.0361289410082301,0.0749795689059072
"Denmark","GAM",0.0430581905445274,0.013320655264216,0.0268515567552865,0.0514782217430187
"Finland","ARIMA",0.0573101233491513,0.0261027221115523,0.0540388521072605,0.0578834626257927
"Finland","ETS",0.0574314305122536,0.026101259893727,0.0540373500798661,0.0578832705236563
"Finland","Theta",0.0572881152865946,0.0390713141633499,0.0741791154825678,0.0609701739064569
"Finland","NNAR",0.0517937883711758,0.058104421892438,0.0907158442683684,0.0689109611451564
"Finlad","ARFIMA",0.0596419565509189,0.0122824551046813,0.0249496788623114,0.0833597889547659
"Finland","GP",0.0000000000000000480894494968741,0.107798233655261,0.159841694805583,0.1504292127689
"Finland","GAM",0.0464424873991857,0.0116444087283888,0.0201506058970322,0.102762602621048
"France","ARIMA",0.038625676585374,0.0153191750529232,0.0193795214972014,0.0395737587630099
"France","ETS",0.0406046174667448,0.033486652763399,0.0461320474985549,0.0809139879535005
"France","Theta",0.0405485059215632,0.0230915816946174,0.0308234759374921,0.0543517416381056
"France","NNAR",0.0186971270169035,0.0752591485586271,0.088764615289051,0.1174114241396
"France","ARFIMA",0.0410473666962648,0.036893004290501,0.053210689490641,0.0984908491635798
"France","GP",0.00000000000000000563701600076231,0.0138739364954635,0.0114427865954652,0.0328574327895959
