"Country","Model","Train_MAPE","Horizon_1_3_MAPE","Horizon_1_5_MAPE","Horizon_Full_MAPE"
"Austria","ARIMA",0.0264350910085326,0.0464964052757889,0.0456570726593773,0.0540701693058231
"Austria","ETS",0.0264377229695451,0.0465021099344564,0.0456627727426769,0.0540748250110596
"Austria","Theta",0.026435659836699,0.0428248725081792,0.0418390883702617,0.0507167407909605
"Austria","NNAR",0.0246179885722406,0.0450902007174743,0.0466582358016892,0.055985579827405
"Austria","ARFIMA",0.0264353456266619,0.046496630626962,0.0456571984771787,0.0540702212432491
"Austria","GP",0,0.0425327049115289,0.0413977588639988,0.0501212911560606
"Austria","GAM",0.0264998338011489,0.0425323559284726,0.0413974123139097,0.0501210114879158
"Belgium","ARIMA",0.0506639683412953,0.124611538693496,0.122849418177781,0.182239327147942
"Belgium","ETS",0.0519089674955898,0.124508198917771,0.122746240322091,0.182130691994632
"Belgium","Theta",0.0519101732037776,0.110909824909672,0.104532481955283,0.15008641111737
"Belgium","NNAR",0.0122507494318253,0.188571496613585,0.135512635483338,0.211357006860643
"Belgium","ARFIMA",0.0503198479127102,0.209224736674929,0.219103101496792,0.29843156517837
"Belgium","GP",0.0000000000000000289994062853474,0.0985088846884264,0.0900223885898063,0.125609232560312
"Belgium","GAM",0.037146547138425,0.073600067521498,0.0596056330538708,0.0820321341413867
"Denmark","ARIMA",0.0298681627982127,0.0815579535753266,0.0796586820891434,0.113323267905766
"Denmark","ETS",0.0298760936322448,0.0815665311388628,0.0796672445900362,0.113332097392005
"Denmark","Theta",0.0298760160051906,0.0595106874136152,0.0567582777787868,0.0873345715033703
"Denmark","NNAR",0.00796832586501515,0.0975128637714416,0.0819734590782237,0.127278846565864
"Denmark","ARFIMA",0.0289783934048978,0.076395460403878,0.0756430155647227,0.110593275498068
"Denmark","GP",0,0.0542293333325756,0.0515695165516959,0.0804200391338714
"Denmark","GAM",0.0253225803953126,0.0577326799510214,0.0540911736643003,0.0822090943918231
"Finland","ARIMA",0.0334193389954682,0.0392962508994365,0.0485137238232981,0.0451842508470958
"Finland","ETS",0.0337293262620404,0.0400876358802244,0.04870295767109,0.0450663644806598
"Finland","Theta",0.0337280784313615,0.0369137343497888,0.0527061459381084,0.0554151167515576
"Finland","NNAR",0.00243625497715935,0.122349216857206,0.0960416151483718,0.0892857795576381
"Finlad","ARFIMA",0.0383679988215958,0.0510082679147858,0.0453407363543412,0.0377729141298447
"Finland","GP",0.00000000000000000504242146402461,0.0345756909618361,0.0647423507024343,0.084926321264783
"Finland","GAM",0.0262146557956842,0.0535547453959342,0.0511928656375919,0.0418309185584156
"France","ARIMA",0.0331770800664637,0.13851024618974,0.129192187173336,0.158739427520153
"France","ETS",0.0331770994932852,0.138511261869427,0.129193194540262,0.158740461246553
"France","Theta",0.0331770776828476,0.115830642347191,0.105790419297835,0.132306039791862
"France","NNAR",0.0280753505826102,0.129676665674185,0.124057291280505,0.158328822749467
"France","ARFIMA",0.0331773734687544,0.138509768597253,0.129191725468772,0.158739046626963
"France","GP",0,0.114020645948363,0.103087452995433,0.127113073098725
"France","GAM",0.0337586830775606,0.114021306365014,0.103088225195974,0.127114177817716
