"Country","Model","Train_MAPE","Horizon_1_3_MAPE","Horizon_1_5_MAPE","Horizon_Full_MAPE"
"Austria","ARIMA",0.0765448337192552,0.0775379039275509,0.0731138112786121,0.100415360692783
"Austria","ETS",0.0785074202449275,0.0849900261183219,0.0773702682926172,0.10033856416715
"Austria","Theta",0.0765462336959723,0.0665363682702511,0.0685019787914081,0.11342313708964
"Austria","NNAR",0.0635890088180962,0.164402791832153,0.136910073544418,0.107526046551166
"Austria","ARFIMA",0.0757341968472707,0.144955179218466,0.12400837151578,0.105943688153463
"Austria","GP",0,0.0706446553128841,0.0720938999778276,0.122925997074896
"Austria","GAM",0.0829856952932003,0.0843220220369917,0.080332586033033,0.126413881404046
"Belgium","ARIMA",0.0567074359270753,0.0347917340530875,0.152258717821983,0.354404745716646
"Belgium","ETS",0.0725841682500149,0.0374342934073445,0.150293009782204,0.348280522253601
"Belgium","Theta",0.0725841682500149,0.0370523337663946,0.140966879111766,0.317477723930171
"Belgium","NNAR",0.0042824862267522,0.111037042455898,0.163032591333005,0.295446605432183
"Belgium","ARFIMA",0.0556302289321011,0.0335656761334021,0.142406239937388,0.332877560598149
"Belgium","GP",0.0000000000000000782913899060954,0.0745956325090755,0.0937553457843686,0.174545270181474
"Belgium","GAM",0.0463566286818202,0.11669345406626,0.318566895761673,0.78980998736176
"Denmark","ARIMA",0.103318935756342,0.023064754202141,0.0584080090024978,0.136610716250486
"Denmark","ETS",0.112761284026895,0.158151143987762,0.234883091769843,0.334530555320252
"Denmark","Theta",0.112761284026895,0.150939634247758,0.223119283131975,0.309311667105794
"Denmark","NNAR",0.0143303682389831,0.195236548855078,0.316031568667701,0.385377589165971
"Denmark","ARFIMA",0.10294330611283,0.0167517095818203,0.0475654165276875,0.1229352364883
"Denmark","GP",0.000000000000000153633867881914,0.0111368152389862,0.0260352105645697,0.0599494861427615
"Denmark","GAM",0.0923801007749872,0.497686446260541,0.709360914415166,1.19242728632284
"Finland","ARIMA",0.109093127763417,0.0677322484460211,0.161490212793393,0.231298626176779
"Finland","ETS",0.125657085042254,0.0398219542341331,0.147523319830231,0.442346746082331
"Finland","Theta",0.116958792871055,0.0873398393150078,0.0851302082401103,0.0979919404021005
"Finland","NNAR",0.143059065374405,0.0351683756822308,0.0731829589460019,0.184875765254432
"Finlad","ARFIMA",0.106965492170186,0.0487813351469313,0.131434056934738,0.198013842444815
"Finland","GP",0.000000000000000748277163623225,0.0382829165708948,0.0520461124147034,0.0730446159224886
"Finland","GAM",0.105559314030382,0.218335833050278,0.232830773357203,0.327922091796183
"France","ARIMA",0.0459323797226983,0.0197917208391482,0.0508132769937951,0.181020661487329
"France","ETS",0.051216990332821,0.0109663543219322,0.0538043355732842,0.20743437859664
"France","Theta",0.051216990332821,0.00910438659598925,0.0472866942935122,0.187735825371715
"France","NNAR",0.023453859888122,0.0279150716599888,0.0344077021030403,0.185515897414721
"France","ARFIMA",0.0464080452763131,0.0236231358113791,0.0561360852998879,0.189524446387171
"France","GP",0.0000000000000000835827172915381,0.0423438382729544,0.0388798686876523,0.0802919284936362
"France","GAM",0.0336093385558849,0.150706432602004,0.273712945247546,0.720634492061463
"Germany","ARIMA",0.049062194196436,0.25430293507065,0.504817855384806,0.833272841297825
"Germany","ETS",0.0660118570238115,0.0597227246727148,0.143863525917373,0.190881914498167
"Germany","Theta",0.0876922736170119,0.136036162263349,0.25576173915101,0.351384292928483
"Germany","NNAR",0.014304431258542,0.283208800195734,0.504079838972152,0.607033469298954
"Germany","ARFIMA",0.0673592224250755,0.481879492610155,0.889301189318462,1.2695132586377
"Germany","GP",0.000000000000000248011958427076,0.312351956143817,0.571749138156796,0.792525956762568
"Germany","GAM",0.0401539807059556,0.0458791991998748,0.0454414933765297,0.274745405675724
"Ireland","ARIMA",0.0823623030418616,0.326114647190953,0.635136363530325,1.19390328297943
"Ireland","ETS",0.0929976852167973,0.0612341151785452,0.0662810878343403,0.546998742123969
"Ireland","Theta",0.107806637559296,0.368688293878936,0.66844465976833,1.16593590557023
"Ireland","NNAR",0.0228173218743347,0.468030620990114,0.459460263016568,0.852745715329311
"Ireland","ARFIMA",0.0900766742829903,0.154506688260091,0.34956432083934,0.789411522596873
"Ireland","GP",0.000000000000000550420426847393,0.0276353873440402,0.0852629552789134,0.120030440025188
"Ireland","GAM",0.120339523832257,0.922582221281215,1.5729718017187,3.21860996624212
"Italy","ARIMA",0.0467097440051934,0.0161302637367316,0.0323254600045573,0.0867758923537402
"Italy","ETS",0.0521012336801862,0.27552517237332,0.47613898124724,1.37381101587397
"Italy","Theta",0.0633747897718067,0.0393093804124618,0.0762018299048726,0.297852018901969
"Italy","NNAR",0.0227307163102332,0.180736022549189,0.14115615996385,0.269394411309906
"Italy","ARFIMA",0.0466882915796983,0.0164007197635053,0.0389679081492539,0.0893341236786641
"Italy","GP",0.00000000000000015438940523068,0.0907503676355949,0.116565811751729,0.13082432709448
"Italy","GAM",0.0352415540812282,0.260816661494994,0.459110518518308,1.34640288939336
"Luxembourg","ARIMA",0.112195009638407,0.0638721752528971,0.0611584694291226,0.0938442600605896
"Luxembourg","ETS",0.112167404376286,0.0638850557587734,0.0611603797976675,0.0938417179754598
"Luxembourg","Theta",0.112167404376286,0.0475622936425533,0.0681037410167944,0.118145223065076
"Luxembourg","NNAR",0.0542823290651884,0.191455633519815,0.16263284022517,0.149717246626693
"Luxembourg","ARFIMA",0.106548705877346,0.0769134820069904,0.076865727291069,0.157064917627022
"Luxembourg","GP",0.000000000000000237638491182014,0.0536374923202538,0.0362849621114587,0.0809534993085831
"Luxembourg","GAM",0.0607690693519246,0.0513572838024435,0.187163440416428,0.476271775241975
"Netherlands","ARIMA",0.0790139319527712,0.206569218062599,0.428356385042981,0.932649322151556
"Netherlands","ETS",0.116500899330417,0.0757314531611344,0.260937625194664,0.694550738775885
"Netherlands","Theta",0.116500899330417,0.0684399871421849,0.243270720686712,0.640347573506749
"Netherlands","NNAR",0.0329762191087817,0.0539281858517671,0.0665950294472962,0.335596256427792
"Netherlands","ARFIMA",0.0785759438442062,0.0922439603577317,0.151236132294536,0.338297313027108
"Netherlands","GP",0.000000000000000379823491129719,0.0293095855216682,0.0397876036330589,0.139259348726205
"Netherlands","GAM",0.0723022844536552,0.431747673493538,0.936567473654053,2.59391850123395
"Portugal","ARIMA",0.0862065529717636,0.546255297859963,1.07867458469107,2.28960935054225
"Portugal","ETS",0.0965706302823322,0.33580578197938,0.656893597679404,1.17734789314684
"Portugal","Theta",0.0960398586795213,0.353979723523838,0.693317322182386,1.27339872085382
"Portugal","NNAR",0.0941853458090843,0.345471185847608,0.668578392859149,1.19246552342683
"Portugal","ARFIMA",0.0754669550833774,0.357327311279577,0.62600031205421,0.921231242895693
"Portugal","GP",0.000000000000000975658662341589,0.381008005453689,0.636321988091578,0.970064475491362
"Portugal","GAM",0.0444843006005214,0.773125881667369,1.48769226151203,3.27008967461478
"Spain","ARIMA",0.0838418069349647,0.0842745092622875,0.108944922136221,0.137750605170958
"Spain","ETS",0.0931294715081798,0.331569099259845,0.607370164265167,1.31242580766814
"Spain","Theta",0.1039625181237,0.191482745615708,0.357804812388975,0.675924309601125
"Spain","NNAR",0.0855418783811114,0.144501282700118,0.267928517420654,0.407825062451852
"Spain","ARFIMA",0.0821724033021787,0.0639917139578865,0.0697646286617041,0.104643770733815
"Spain","GP",0.000000000000000454002300939337,0.0960568566870319,0.112941862707203,0.182318677238443
"Spain","GAM",0.0593899698081123,0.42801555195823,0.763468728741469,1.67381097966539
"Sweden","ARIMA",0.109153775691522,0.0670972799120512,0.126883170135321,0.100929019763987
"Sweden","ETS",0.132012944218633,0.080873355776088,0.141431073437043,0.108100117135028
"Sweden","Theta",0.132012944218633,0.106604326925691,0.182816112676172,0.159801026826102
"Sweden","NNAR",0.0890602525508609,0.0923313435426091,0.153838908307781,0.114217009319398
"Sweden","ARFIMA",0.125837794972668,0.0282989274053594,0.0523678379896975,0.101701868002314
"Sweden","GP",0.000000000000000264386541094802,0.145265213934804,0.275520604305605,0.311374685720693
"Sweden","GAM",0.110547220789152,0.28639349924046,0.435493578085457,0.556073449917296
