"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.3860109498193","70.9967837702649","64.5643135803172","62.7312132409209","64.6655585140977","68.0752981880873","64.5941526531523","65.0612625386555","65.5292950658025","62.9185634689552","60.2181860904717","69.7510127562388","73.1035458041627","76.5483116318725","78.2754936773626","72.8529128494511","71.8204350098217","72.5486898260087","72.2527739552586","73.2345915426225","52.9926043749021","70.7400436346823","87.5702803628607","88.3437862789056","",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3696590603103","18.5140045283496","21.534434439162","22.7153640777076","23.7098643896714","24.3854710706745","25.4545609987507","24.5538655785691","24.8722484488668","24.7923103993254","25.5952247765203","27.2553867395608","27.7950198229929","25.5149867732464","25.6901041698911","27.6230275042442","29.577386325635","31.949927945622","35.562963944185","27.3046938821189","29.5206439886886","31.4356203221582","29.9567241421061","29.1951498054011","28.6004395761468","24.0726319366809","23.2541511848562","23.945473605091","25.3063998411714","23.9260802442032","22.041722250922","25.8854635242059","27.4618215194812","26.4038933379421","25.8750229212229",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4208171386207","14.342152797537","18.3800424016375","16.8527881206002","",
"Africa Western and Central","AFW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0849959046266","54.3213388113835","58.3803583199793","65.5262677696291","63.4678635039226","67.9057833724671","72.4750287994632","58.7573002977584","61.5431158851524","60.6699475151848","55.9401306344811","50.7470857909554","44.6950294609853","29.7545979506807","28.1244854472006","29.0041020030504","40.8362898299819","40.7907550532833","38.314540742558","47.7452759675607","44.391642097512","40.8324662400402","37.8827428063986",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.2696512257008","11.4951450178899","10.0408492363618","11.2273038242118","16.4734334387411","19.5304708980011","20.6135666190169","20.1711859333135","20.1638803786461","21.5517522222215","22.4427818397267","24.5085919324007","27.1308199124046","24.5826619203536","24.644624460972","27.6099296701047","29.0544738022633","29.1107709360814","28.8694020076469","28.0683434875498","27.0693224620319","28.6697931741608","31.0017957888583","31.1140135421951","30.9361224858484","22.540763270986","31.1330223351483","37.1970818190154","38.6650808341863","36.1095621958381",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9609860445078","39.2543162392289","42.5484572981849","47.4575833805013","52.1084080983428","53.692294121072","53.6715474966935","56.6488197761733","46.1573946646849","48.6917334872883","52.9142685329576","54.3216159587911","52.4463172521456","48.65500009551","40.498863190072","37.7825416131334","41.9916024036548","44.6149788326256","42.3849285002328","35.8810975153091","41.6001568905923","47.9577901395422","47.2825986925989","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","79.392673459848","87.5386024465685","97.6349633773452","98.0075860876661","97.2525706492064","96.8278056324385","97.6631210861556","97.8543060287568","93.7169810154613","96.8595999294072","100.230158948476","102.403084111353","103.812252335101","108.610871395566","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111518","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.9248783778462","16.6054144372484","18.0667091690365","16.248014443903","12.7492457826544","15.3342337389676",
"Armenia","ARM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0029815146094","40.7453883799724","39.8207550211161","47.2189758700553","39.3280393523261","23.9279208283617","23.2400035043381","20.2732693887542","19.0030199716737","20.7582469526567","22.1614188089398","24.1458543956306","27.832108365994","30.4829978923981","28.1907438231723","27.3131979500115","22.1459814355134","18.1893569819725","14.2657295739767","14.6709007461363","19.7484153168252","22.5231882640131","27.5618114828439","28.3534851384818","28.5603816555446","29.7253912120334","33.7442798606396","38.2160456550464","39.3928940286073","41.3508013620849","29.7649869151934","35.9064399901267","50.2249804603907","59.4520856749187","76.3471180026783",
"American Samoa","ASM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.171875","97.9007633587786","90.3732809430255","99.6","100.405679513185","97.4903474903475","114.464285714286","78.5185185185185","63.5253054101222","58.7719298245614","75.46875","71.7868338557994","66.7185069984448","63.5958395245171","63.9344262295082","59.1503267973856","68.2316118935837","61.6692426584235","59.2233009708738","44.2666666666667","46.9575200918485","","",
"Antigua and Barbuda","ATG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5107467810698","70.7044967935257","70.0240929106175","64.4160024709769","62.470548111624","69.1646948026456","41.8859637615377","46.9612135727066","54.7237649635992","","",
